reservation_date,adults,children,booking_changes,total_of_special_requests,reservation_count,hotel
2016-01-02,127,18,31,26,69,Resort Hotel
2016-01-03,195,12,48,57,108,Resort Hotel
2016-01-04,64,8,18,28,40,Resort Hotel
2016-01-05,190,7,15,56,102,Resort Hotel
2016-01-06,46,4,14,22,31,Resort Hotel
2016-01-07,43,5,14,23,31,Resort Hotel
2016-01-08,74,3,18,30,50,Resort Hotel
2016-01-09,38,5,16,20,25,Resort Hotel
2016-01-10,50,3,14,31,32,Resort Hotel
2016-01-11,75,8,21,32,44,Resort Hotel
2016-01-12,50,5,15,32,38,Resort Hotel
2016-01-13,60,4,26,22,46,Resort Hotel
2016-01-14,96,4,13,17,59,Resort Hotel
2016-01-15,87,5,23,35,60,Resort Hotel
2016-01-16,71,6,13,30,44,Resort Hotel
2016-01-17,89,11,23,41,49,Resort Hotel
2016-01-18,143,9,14,39,77,Resort Hotel
2016-01-19,154,5,13,25,88,Resort Hotel
2016-01-20,116,9,19,35,74,Resort Hotel
2016-01-21,136,4,23,43,86,Resort Hotel
2016-01-22,154,3,13,27,90,Resort Hotel
2016-01-23,54,5,15,21,34,Resort Hotel
2016-01-24,86,8,15,35,50,Resort Hotel
2016-01-25,79,8,20,25,48,Resort Hotel
2016-01-26,137,5,13,27,76,Resort Hotel
2016-01-27,73,9,13,28,51,Resort Hotel
2016-01-28,80,11,21,47,55,Resort Hotel
2016-01-29,71,12,18,27,51,Resort Hotel
2016-01-30,37,3,10,19,25,Resort Hotel
2016-01-31,71,12,21,20,42,Resort Hotel
2016-02-01,38,4,16,21,26,Resort Hotel
2016-02-02,59,3,15,24,38,Resort Hotel
2016-02-03,77,14,19,25,51,Resort Hotel
2016-02-04,57,7,17,25,48,Resort Hotel
2016-02-05,120,5,21,26,81,Resort Hotel
2016-02-06,32,4,12,17,22,Resort Hotel
2016-02-07,102,10,22,51,58,Resort Hotel
2016-02-08,60,9,17,37,36,Resort Hotel
2016-02-09,227,22,35,63,150,Resort Hotel
2016-02-10,91,9,13,34,49,Resort Hotel
2016-02-11,73,4,13,20,49,Resort Hotel
2016-02-12,113,9,14,43,65,Resort Hotel
2016-02-13,70,4,25,29,41,Resort Hotel
2016-02-14,216,9,29,56,114,Resort Hotel
2016-02-15,134,20,22,65,74,Resort Hotel
2016-02-16,58,5,15,21,36,Resort Hotel
2016-02-17,60,4,17,20,44,Resort Hotel
2016-02-18,80,12,20,31,53,Resort Hotel
2016-02-19,75,12,24,27,52,Resort Hotel
2016-02-20,67,6,18,31,43,Resort Hotel
2016-02-21,91,10,18,37,50,Resort Hotel
2016-02-22,92,10,18,26,52,Resort Hotel
2016-02-23,52,7,14,22,36,Resort Hotel
2016-02-24,89,11,19,34,55,Resort Hotel
2016-02-25,101,8,21,34,64,Resort Hotel
2016-02-26,58,7,18,18,45,Resort Hotel
2016-02-27,56,6,19,25,37,Resort Hotel
2016-02-28,67,12,14,33,39,Resort Hotel
2016-02-29,249,25,33,80,134,Resort Hotel
2016-03-01,90,6,18,28,53,Resort Hotel
2016-03-02,62,4,18,33,46,Resort Hotel
2016-03-03,102,3,24,30,68,Resort Hotel
2016-03-04,172,7,26,33,101,Resort Hotel
2016-03-05,61,8,16,19,39,Resort Hotel
2016-03-06,143,7,27,58,82,Resort Hotel
2016-03-07,67,10,19,25,40,Resort Hotel
2016-03-08,79,12,17,32,47,Resort Hotel
2016-03-09,107,9,23,38,71,Resort Hotel
2016-03-10,70,11,22,34,52,Resort Hotel
2016-03-11,75,4,19,19,49,Resort Hotel
2016-03-12,143,4,40,22,83,Resort Hotel
2016-03-13,177,15,37,35,100,Resort Hotel
2016-03-14,77,15,16,23,46,Resort Hotel
2016-03-15,78,8,20,28,49,Resort Hotel
2016-03-16,106,11,24,20,72,Resort Hotel
2016-03-17,89,6,30,25,61,Resort Hotel
2016-03-18,169,4,27,21,107,Resort Hotel
2016-03-19,58,8,18,15,38,Resort Hotel
2016-03-20,122,8,19,45,68,Resort Hotel
2016-03-21,81,5,13,24,45,Resort Hotel
2016-03-22,130,10,28,33,73,Resort Hotel
2016-03-23,123,10,29,45,78,Resort Hotel
2016-03-24,188,21,40,42,107,Resort Hotel
2016-03-25,58,7,15,30,35,Resort Hotel
2016-03-26,70,8,22,28,39,Resort Hotel
2016-03-27,217,20,45,49,113,Resort Hotel
2016-03-28,157,17,28,52,84,Resort Hotel
2016-03-29,171,9,22,36,93,Resort Hotel
2016-03-30,95,9,13,25,57,Resort Hotel
2016-03-31,125,15,25,30,72,Resort Hotel
2016-04-01,66,12,13,28,42,Resort Hotel
2016-04-02,48,11,15,19,29,Resort Hotel
2016-04-03,113,14,59,24,65,Resort Hotel
2016-04-04,205,18,71,33,115,Resort Hotel
2016-04-05,62,10,34,20,39,Resort Hotel
2016-04-06,139,6,42,29,92,Resort Hotel
2016-04-07,58,6,18,22,45,Resort Hotel
2016-04-08,96,7,26,35,61,Resort Hotel
